PKTESTK6,Time,Fissions,totFissions,Power,totPower,Reactivity,feedback,feedback,,RHOPK5, ,Fissions,totFissions,Power,totPower,Reactivity,feedback,feedback
gen=303,(s),(/sec),,(MW),(MW-s),,,($),,,(s),(/sec),,(MW),(MW-s),,,($)
,6.90E-06,5.70E+11,3.13E+06,1.66E-05,9.18E-11,2.97E-03,0.00E+00,0.00E+00,,,6.90E-06,5.62E+11,3.11E+06,1.64E-05,9.11E-11,2.21E-03,0.00E+00,0.00E+00
,7.00E-06,5.73E+11,3.19E+06,1.67E-05,9.35E-11,3.02E-03,0.00E+00,0.00E+00,,,7.00E-06,5.65E+11,3.16E+06,1.65E-05,9.27E-11,2.25E-03,0.00E+00,0.00E+00
,7.10E-06,5.76E+11,3.25E+06,1.68E-05,9.52E-11,3.08E-03,0.00E+00,0.00E+00,,,7.10E-06,5.69E+11,3.22E+06,1.66E-05,9.44E-11,2.29E-03,0.00E+00,0.00E+00
,7.20E-06,5.80E+11,3.30E+06,1.69E-05,9.68E-11,3.14E-03,0.00E+00,0.00E+00,,,7.20E-06,5.72E+11,3.28E+06,1.67E-05,9.60E-11,2.33E-03,0.00E+00,0.00E+00
,7.30E-06,5.83E+11,3.36E+06,1.70E-05,9.85E-11,3.20E-03,0.00E+00,0.00E+00,,,7.30E-06,5.75E+11,3.33E+06,1.68E-05,9.77E-11,2.37E-03,0.00E+00,0.00E+00
,7.40E-06,5.86E+11,3.42E+06,1.71E-05,1.00E-10,3.25E-03,0.00E+00,0.00E+00,,,7.40E-06,5.78E+11,3.39E+06,1.69E-05,9.94E-11,2.41E-03,0.00E+00,0.00E+00
,7.50E-06,5.89E+11,3.48E+06,1.72E-05,1.02E-10,3.31E-03,0.00E+00,0.00E+00,,,7.50E-06,5.81E+11,3.45E+06,1.70E-05,1.01E-10,2.44E-03,0.00E+00,0.00E+00
,7.60E-06,5.93E+11,3.54E+06,1.73E-05,1.04E-10,3.37E-03,0.00E+00,0.00E+00,,,7.60E-06,5.85E+11,3.51E+06,1.70E-05,1.03E-10,2.48E-03,0.00E+00,0.00E+00
,7.70E-06,5.96E+11,3.60E+06,1.74E-05,1.05E-10,3.43E-03,0.00E+00,0.00E+00,,,7.70E-06,5.88E+11,3.57E+06,1.71E-05,1.04E-10,2.52E-03,0.00E+00,0.00E+00
,7.80E-06,5.99E+11,3.66E+06,1.75E-05,1.07E-10,3.49E-03,0.00E+00,0.00E+00,,,7.80E-06,5.91E+11,3.62E+06,1.72E-05,1.06E-10,2.56E-03,0.00E+00,0.00E+00
,7.90E-06,6.03E+11,3.72E+06,1.76E-05,1.09E-10,3.54E-03,0.00E+00,0.00E+00,,,7.90E-06,5.94E+11,3.68E+06,1.73E-05,1.08E-10,2.60E-03,0.00E+00,0.00E+00
,8.00E-06,6.06E+11,3.78E+06,1.77E-05,1.11E-10,3.60E-03,0.00E+00,0.00E+00,,,8.00E-06,5.97E+11,3.74E+06,1.74E-05,1.10E-10,2.64E-03,0.00E+00,0.00E+00
,8.10E-06,6.09E+11,3.84E+06,1.78E-05,1.12E-10,3.66E-03,0.00E+00,0.00E+00,,,8.10E-06,6.00E+11,3.80E+06,1.75E-05,1.11E-10,2.68E-03,0.00E+00,0.00E+00
,8.20E-06,6.12E+11,3.90E+06,1.79E-05,1.14E-10,3.72E-03,0.00E+00,0.00E+00,,,8.20E-06,6.04E+11,3.86E+06,1.76E-05,1.13E-10,2.72E-03,0.00E+00,0.00E+00
,8.30E-06,6.16E+11,3.96E+06,1.80E-05,1.16E-10,3.78E-03,0.00E+00,0.00E+00,,,8.30E-06,6.07E+11,3.92E+06,1.77E-05,1.15E-10,2.76E-03,0.00E+00,0.00E+00
,8.40E-06,6.19E+11,4.02E+06,1.80E-05,1.18E-10,3.84E-03,0.00E+00,0.00E+00,,,8.40E-06,6.10E+11,3.98E+06,1.78E-05,1.17E-10,2.80E-03,0.00E+00,0.00E+00
,8.50E-06,6.22E+11,4.08E+06,1.81E-05,1.20E-10,3.90E-03,0.00E+00,0.00E+00,,,8.50E-06,6.13E+11,4.05E+06,1.79E-05,1.18E-10,2.84E-03,0.00E+00,0.00E+00
,8.60E-06,6.26E+11,4.15E+06,1.82E-05,1.21E-10,3.96E-03,0.00E+00,0.00E+00,,,8.60E-06,6.16E+11,4.11E+06,1.80E-05,1.20E-10,2.88E-03,0.00E+00,0.00E+00
,8.70E-06,6.29E+11,4.21E+06,1.83E-05,1.23E-10,4.02E-03,0.00E+00,0.00E+00,,,8.70E-06,6.19E+11,4.17E+06,1.81E-05,1.22E-10,2.92E-03,0.00E+00,0.00E+00
,8.80E-06,6.32E+11,4.27E+06,1.84E-05,1.25E-10,4.08E-03,0.00E+00,0.00E+00,,,8.80E-06,6.23E+11,4.23E+06,1.82E-05,1.24E-10,2.96E-03,0.00E+00,0.00E+00
,8.90E-06,6.35E+11,4.34E+06,1.85E-05,1.27E-10,4.14E-03,0.00E+00,0.00E+00,,,8.90E-06,6.26E+11,4.29E+06,1.82E-05,1.26E-10,3.00E-03,0.00E+00,0.00E+00
,9.00E-06,6.39E+11,4.40E+06,1.86E-05,1.29E-10,4.20E-03,0.00E+00,0.00E+00,,,9.00E-06,6.29E+11,4.36E+06,1.83E-05,1.28E-10,3.04E-03,0.00E+00,0.00E+00
,9.10E-06,6.42E+11,4.46E+06,1.87E-05,1.31E-10,4.26E-03,0.00E+00,0.00E+00,,,9.10E-06,6.32E+11,4.42E+06,1.84E-05,1.29E-10,3.08E-03,0.00E+00,0.00E+00
,9.20E-06,6.45E+11,4.53E+06,1.88E-05,1.33E-10,4.32E-03,0.00E+00,0.00E+00,,,9.20E-06,6.35E+11,4.48E+06,1.85E-05,1.31E-10,3.12E-03,0.00E+00,0.00E+00
,9.30E-06,6.49E+11,4.59E+06,1.89E-05,1.34E-10,4.39E-03,0.00E+00,0.00E+00,,,9.30E-06,6.39E+11,4.55E+06,1.86E-05,1.33E-10,3.16E-03,0.00E+00,0.00E+00
,9.40E-06,6.52E+11,4.66E+06,1.90E-05,1.36E-10,4.45E-03,0.00E+00,0.00E+00,,,9.40E-06,6.42E+11,4.61E+06,1.87E-05,1.35E-10,3.20E-03,0.00E+00,0.00E+00
